win,lose,probability
Cleveland Cavaliers,New York Knicks,0.911010678266
Golden State Warriors,San Antonio Spurs,0.731830024753
Portland Trail Blazers,Utah Jazz,0.74590525294
Boston Celtics,Brooklyn Nets,0.890509239743
Indiana Pacers,Dallas Mavericks,0.651402546873
Houston Rockets,Los Angeles Lakers,0.689092151377
Memphis Grizzlies,Minnesota Timberwolves,0.660551493355
Charlotte Hornets,Milwaukee Bucks,0.562990692436
New Orleans Pelicans,Denver Nuggets,0.638408156478
Miami Heat,Orlando Magic,0.585626574771
Oklahoma City Thunder,Philadelphia 76ers,0.899441234444
Phoenix Suns,Sacramento Kings,0.502648941942
Toronto Raptors,Detroit Pistons,0.784340347013
Atlanta Hawks,Washington Wizards,0.705354151125
Chicago Bulls,Boston Celtics,0.528366986836
Portland Trail Blazers,Los Angeles Clippers,0.67153015548
San Antonio Spurs,Sacramento Kings,0.709620881158
Indiana Pacers,Brooklyn Nets,0.694446538705
Dallas Mavericks,Houston Rockets,0.600919381006
Detroit Pistons,Orlando Magic,0.715336141512
Miami Heat,Charlotte Hornets,0.669447525814
Golden State Warriors,New Orleans Pelicans,0.808158069117
Oklahoma City Thunder,Phoenix Suns,0.923374843425
Cleveland Cavaliers,Toronto Raptors,0.531314665864
Utah Jazz,Los Angeles Lakers,0.794007515261
Chicago Bulls,Indiana Pacers,0.568565343475
Charlotte Hornets,Boston Celtics,0.650588400479
Cleveland Cavaliers,Orlando Magic,0.902718188099
Portland Trail Blazers,Denver Nuggets,0.642330674131
Milwaukee Bucks,Brooklyn Nets,0.776417692262
New York Knicks,Memphis Grizzlies,0.551041151792
Atlanta Hawks,Philadelphia 76ers,0.810655544557
Sacramento Kings,Minnesota Timberwolves,0.657982881841
San Antonio Spurs,New Orleans Pelicans,0.910910122806
Detroit Pistons,Milwaukee Bucks,0.78112522007
Houston Rockets,Dallas Mavericks,0.61554951473
Los Angeles Clippers,Utah Jazz,0.702699011712
Memphis Grizzlies,Washington Wizards,0.518505651031
San Antonio Spurs,Miami Heat,0.500398889662
Oklahoma City Thunder,Los Angeles Lakers,0.925901464208
Golden State Warriors,Phoenix Suns,0.847946297709
Atlanta Hawks,Sacramento Kings,0.788302238616
Chicago Bulls,Brooklyn Nets,0.721776927133
Los Angeles Clippers,Phoenix Suns,0.856176439239
Toronto Raptors,Denver Nuggets,0.871777855524
Cleveland Cavaliers,Houston Rockets,0.857242133458
Detroit Pistons,New York Knicks,0.734910921064
Indiana Pacers,Los Angeles Lakers,0.844616630445
Miami Heat,Sacramento Kings,0.801606551166
Minnesota Timberwolves,Memphis Grizzlies,0.662975249831
New Orleans Pelicans,Milwaukee Bucks,0.631213374149
Orlando Magic,Philadelphia 76ers,0.721251996723
Golden State Warriors,Portland Trail Blazers,0.533442452652
San Antonio Spurs,Utah Jazz,0.83137164518
Atlanta Hawks,Los Angeles Lakers,0.852754642033
Boston Celtics,Chicago Bulls,0.645151734264
Detroit Pistons,Brooklyn Nets,0.648154442883
Charlotte Hornets,Philadelphia 76ers,0.932560040445
Los Angeles Clippers,Oklahoma City Thunder,0.508421923123
Memphis Grizzlies,New Orleans Pelicans,0.674136293323
Houston Rockets,New York Knicks,0.582436006959
Portland Trail Blazers,Phoenix Suns,0.75029747693
Utah Jazz,Dallas Mavericks,0.569907998328
